DOC 0 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_00
DOC 21 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_21
the	11895.000000
of	6467.000000
and	5285.000000
in	4647.000000
to	3757.000000
a	3694.000000
was	1940.000000
as	1787.000000
is	1446.000000
with	1430.000000
that	1363.000000
for	1290.000000
by	1278.000000
s	1270.000000
on	1113.000000
capp	893.267221
his	859.000000
it	843.000000
from	835.000000
an	768.000000

DOC 22 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_22
the	12868.000000
of	5924.000000
and	4955.000000
in	4206.000000
to	3750.000000
a	3466.000000
is	1840.000000
was	1760.000000
as	1620.000000
for	1321.000000
s	1302.000000
by	1269.000000
with	1239.000000
that	1215.000000
on	1048.000000
it	976.000000
from	893.000000
an	799.000000
his	711.000000
accrington	703.842187

DOC 23 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_23
the	12765.000000
of	6395.000000
and	5018.000000
in	4573.000000
to	3419.000000
a	3284.000000
is	1844.000000
as	1551.000000
was	1496.000000
s	1221.000000
by	1209.000000
for	1195.000000
that	1139.000000
on	1073.000000
with	1022.000000
from	884.000000
bronx	862.648089
are	805.000000
it	801.000000
capone	735.815751

DOC 24 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_24
the	12113.000000
of	6200.000000
and	5173.000000
in	4527.000000
to	3228.000000
a	3061.000000
is	1718.000000
as	1681.000000
s	1476.000000
was	1304.000000
that	1244.000000
by	1159.000000
for	1146.000000
with	1098.000000
on	1031.000000
are	861.000000
from	802.000000
spears	713.431341
it	704.000000
which	656.000000

DOC 25 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_25
the	13147.000000
of	6427.000000
and	5646.000000
in	4753.000000
to	3162.000000
a	2972.000000
is	1724.000000
as	1391.000000
by	1386.000000
was	1283.000000
s	1168.000000
with	1163.000000
for	1049.000000
on	1044.000000
are	1042.000000
from	948.000000
that	809.000000
bermuda	725.963385
it	696.000000
which	673.000000

DOC 26 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_26
the	13693.000000
of	6892.000000
and	5516.000000
in	5037.000000
to	3250.000000
a	2704.000000
is	1704.000000
by	1339.000000
was	1312.000000
as	1289.000000
with	1165.000000
s	1160.000000
for	1138.000000
on	994.000000
are	988.000000
from	902.000000
brunei	872.657261
that	774.000000
which	693.000000
has	691.000000

DOC 27 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_27
the	11798.000000
of	5523.000000
and	4923.000000
in	4775.000000
a	3876.000000
to	3357.000000
is	1999.000000
was	1595.000000
as	1590.000000
for	1424.000000
s	1382.000000
with	1352.000000
by	1330.000000
on	1165.000000
that	1093.000000
it	880.000000
from	878.000000
bluetooth	863.058324
are	837.000000
an	702.000000

DOC 28 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_28
the	13624.000000
of	5860.000000
and	4753.000000
in	4613.000000
a	4026.000000
to	4003.000000
is	1799.000000
was	1564.000000
as	1474.000000
for	1375.000000
with	1363.000000
s	1332.000000
that	1301.000000
by	1242.000000
on	1139.000000
disraeli	1012.656825
it	786.000000
are	772.000000
from	767.000000
braille	730.530671

DOC 29 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_29
the	11562.000000
of	5957.000000
and	4824.000000
in	4458.000000
to	3691.000000
a	3661.000000
s	1629.000000
is	1585.000000
was	1570.000000
as	1468.000000
for	1407.000000
that	1279.000000
by	1194.000000
on	1189.000000
his	1144.000000
with	1127.000000
he	924.000000
from	812.000000
formula	783.360512
it	715.000000

DOC 30 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_30
the	12060.000000
of	5833.000000
and	4750.000000
in	4159.000000
a	3387.000000
to	3362.000000
is	1804.000000
as	1572.000000
for	1456.000000
was	1371.000000
with	1206.000000
that	1199.000000
s	1185.000000
by	1172.000000
on	1007.000000
from	799.000000
are	794.000000
at	680.000000
be	678.000000
or	662.000000

DOC 31 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_31
the	11231.000000
of	5868.000000
and	5146.000000
in	4786.000000
to	3847.000000
a	3597.000000
as	1702.000000
is	1700.000000
was	1417.000000
s	1341.000000
for	1327.000000
by	1280.000000
with	1242.000000
that	1212.000000
are	1041.000000
buzzards	975.565777
on	968.000000
from	903.000000
or	796.000000
it	755.000000

DOC 32 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_32
the	14208.000000
of	5694.000000
and	4499.000000
in	4490.000000
to	3815.000000
a	3595.000000
batman	1686.886029
s	1657.000000
is	1601.000000
was	1567.000000
as	1561.000000
that	1503.000000
on	1351.000000
with	1331.000000
by	1311.000000
for	1260.000000
bnp	1021.950886
it	874.000000
from	851.000000
were	674.000000

DOC 33 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_33
the	13346.000000
of	5887.000000
and	5291.000000
in	4545.000000
to	4422.000000
a	3358.000000
as	1588.000000
s	1539.000000
is	1511.000000
was	1461.000000
for	1390.000000
on	1317.000000
with	1241.000000
by	1234.000000
that	1229.000000
from	937.000000
his	931.000000
he	812.000000
are	742.000000
it	731.000000

DOC 34 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_34
the	12637.000000
of	5958.000000
and	4688.000000
in	4499.000000
to	3548.000000
a	3524.000000
is	2056.000000
as	1663.000000
was	1410.000000
s	1360.000000
for	1332.000000
that	1322.000000
by	1233.000000
bandy	1207.170211
with	1201.000000
on	1051.000000
it	886.000000
are	861.000000
from	816.000000
which	734.000000

DOC 35 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_35
the	11867.000000
